local_raw,nome_norm,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
nas regiões de Orocó,nas regioes de oroco,,,,,,,,,
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Santa Maria da Boa Vista,santa maria da boa vista,2612604.0,Santa Maria da Boa Vista,-8.79766,-39.8241,0.0,26.0,2551.0,87.0,America/Sao_Paulo
nas áreas de caatinga em Salgueiro,nas areas de caatinga em salgueiro,,,,,,,,,
Carnaubeira da Penha,carnaubeira da penha,2603926.0,Carnaubeira da Penha,-8.31799,-38.7512,0.0,26.0,2635.0,87.0,America/Sao_Paulo
Serra Talhada,serra talhada,2613909.0,Serra Talhada,-7.98178,-38.289,0.0,26.0,2577.0,87.0,America/Sao_Paulo
Betânia,betania,2601805.0,Betânia,-8.26787,-38.0345,0.0,26.0,2335.0,87.0,America/Sao_Paulo
Floresta.,floresta.,,,,,,,,,
Caraúba,carauba,,,,,,,,,
Circunscrição de Salgueiro,circunscricao de salgueiro,,,,,,,,,
